sample_timestamp_utc_secs,raw_particle_count,particle_count,humidity,download_timestamp_utc_millis
1395947016,224,666,25,1401820742889
1395947017,245,667,25,1401820742920
1395947018,0,665,25,1401820742952
1395947019,125,662,25,1401820742976
1395947020,105,657,25,1401820743000
1395947021,0,656,25,1401820743112
1395947022,202,655,25,1401820743136
1395947023,0,653,25,1401820743160
1395947024,0,651,25,1401820743184
